No,Product_Name,Price,Brand,Model,Series,CPU,GPU,RAM,Storage Type,Storage Capacity,Color,OS,Screen Resolution,Display Size,Battery_Life,Dimensions,Weight
1,"HP 14 (2021) 11th Gen Intel Core i3 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-Inch (35.6 cm) FHD Screen, Windows 10, MS Office, (14s- dy2501tu)","₹40,000.00",‎HP,HP 14s-DY2501TU,,‎Core i3-1115G4,,‎8 GB,SSD,‎256 GB,White,"‎Windows 10 Home, Windows 10",‎1920 x 1080 ,‎35.6 Centimetres,‎9.15 Hours,32.4 x 22.5 x 1.8 cm,‎1 kg 460 g
2,"Lenovo IdeaPad Slim 3 2021 Intel Core i5 11th Gen 14"" (35.56cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit/Fingerprint Reader/2 Yr Warranty/Arctic Grey/1.41kg), 82H700KTIN","₹59,990.00",‎Lenovo,‎82H700KTIN,‎IdeaPad 3,11th Gen Intel Core i5-1135G7,,8GB RAM DDR4,SSD,512 GB ,‎ARCTIC_GREY,Windows 10 Home,‎1920 x 1080,‎14 Inches,6 Hours,‎32.4 x 21.6 x 2 cm,1.41 Kilograms
3,"Acer Aspire 3 AMD Athlon Silver 3050U Dual-core Processor 15.6"" (39.6 cms) Laptop - (4 GB/1TB HDD/Windows 10 Home/AMD Radeon Graphics /1.9Kg/Silver) A315-23","₹32,500.00",Acer ,‎A315-23 ,‎Aspire 3,‎Athlon Silver 3050U ,,4 GB,‎HDD,‎1 TB,Silver,Windows 10 Home,‎1366 x 768 ,15.6 Inches,‎8 Hours ,‎25.1 x 36.3 x 2 cm ,1.9 Kilograms
4,"HP 15 (2021) AMD Ryzen 3-3250 8 GB RAM, 1TB HDD + 256GB SSD, 15.6 inches FHD Screen, Windows 10, MS Office Thin & Light Laptop, 1.82kg (15s-gr0012AU)","₹41,990.00",HP ,‎HP Laptop 15s-gr0012AU ,15s-gr0012AU,AMD Ryzen 3 3250U,AMD Radeon Vega 6 Graphics,8 GB,"SSD,HDD",1TB HDD + 256GB SSD,Silver,Windows 10 Home,‎1920 x 1080 ,15.6 Inches ,‎12 Hours ,‎35.9 x 24.2 x 2 cm,1.82kg 
5,"ASUS VivoBook 14 2020 AMD Ryzen 3 3250U 14 inches Full HD, T&L Business Laptop (4GB RAM/1TB HDD/Integrated Graphics/Windows 10/Slate Grey/LED Backlit LCD/1.6 kg) M415DA-EB301T ","₹31,990.00",ASUS,‎M415DA-EB301T ,VivoBook 15 (2020) ,AMD Ryzen 3 3250U Processor,‎AMD Radeon™ Graphics ,4GB ,HDD,‎1 TB ,Slate Grey ,Windows 10 Home ,‎1920 x 1080 ,‎35.56 Centimetres ,6 hours,‎21.6 x 32.5 x 2 cm,1.6 kg
6,"Lenovo Ideapad Slim 3 Intel Celeron N4020 15.6"" (39.62cm) HD Thin & Light Laptop (4GB/256 GB SSD/Windows 10/MS Office/Platinum Grey / 1.7 Kg), 81WQ0099IN","₹29,990.00",Lenovo,81WQ0099IN,Ideapad Slim 3 ,Intel Celeron N4020,Intel UHD 600 Integrated Graphics,4GB,SSD,256 GB,Platinum Grey ,Windows 10 Home ,1366x768,15.6 Inches ,8 Hours,‎36.2 x 25.3 x 2 cm,1.7 kg
7,"Lenovo IdeaPad S540 11th Gen Intel Core i7 13.3"" QHD IPS Thin & Light Laptop (16GB/512GB SSD/Windows 10/MS Office 2019/Intel Iris Xe Graphics/Iron Grey/1.28Kg), 82H1002CIN ","₹77,990.00",Lenovo ,82H1002CIN,Ideapad S540 ,i7-1165G7,Intel Iris Xe Integrated Graphics,16GB,SSD,512GB ,Iron Grey ,Windows 10 Home ,2560x1600,13.3 Inches,‎11 Hours ,29.7 x 20.9 x 1.6 Centimeters,1.28 kg
8,"Lenovo IdeaPad Slim 3 2021 Intel Core i5 11th Gen 14"" (35.56cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit/Fingerprint Reader/2 Yr Warranty/Arctic Grey/1.41kg), 82H700KTIN","₹59,990.00",Lenovo ,82H700KTIN,‎IdeaPad 3,11th Gen Intel Core i5-1135G7,,8GB RAM DDR4,SSD,512 GB ,ARCTIC_GREY,Windows 10 Home,1929 x 1080 ,14 Inches ,Upto 6 Hours,‎32.4 x 21.6 x 2 cm,1.41 kg
9,"HP Pavilion Gaming 4th Gen Ryzen 5 Processor 15.6-inch FHD Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black), 15-ec1105AX ","₹71,999.00",HP ,ec1105AX,‎HP Pavilion Gaming Laptop 15-ec1105AX,4th Gen AMD Ryzen 5 4600H,‎NVIDIA GeForce GTX 1650 ,8GB,SSD,512 GB,Black,Windows 10 Home,‎1920 x 1080 ,15.6-Inch,‎4 Hours,36 x 25.6 x 2.3 cm,1.98 Kilograms
10,"Lenovo IdeaPad Slim 3 2021 11th Gen Intel Core i3 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/2 Year Warranty/Arctic Grey/1.65Kg), 82H800U5IN ","₹44,490.00",Lenovo ,82H800U5IN,‎Ideapad 3 ,11th Gen Intel Core i3-1115G4,,8GB RAM DDR4,SSD,512GB ,Arctic Grey,Windows 10 Home,‎1920 x 1080 ,15.6 Inches,Upto 6 Hours,‎35.9 x 23.7 x 2 cm,1.65 Kilograms
11,"HP Pavilion 14 11th Gen Intel Core i5 14-inch (35.5 cms) Thin & Light FHD Laptop (8GB/512GB SSD/Windows 10/MS Office/Natural Silver/1.41 kg), 14-dv0543TU","₹62,990.00",HP ,14-dv0543TU,,11th Gen Intel Core i5-1135G7,,8 GB DDR4,SSD,512GB ,Silver,Windows 10 Home,‎1920 x 1080 ,14 Inches,Upto 6 Hours,‎32.5 x 21.7 x 1.7 cm,1.41 Kilograms
12,"Lenovo Ideapad Gaming 3 AMD Ryzen 5 5600H 15.6"" (39.62cm) FHD IPS Gaming Laptop (8GB/512 GB SSD/4GB Nvidia RTX 3050 Graphics/Win 10/120Hz Refresh Rate/Backlit Keyboard/Shadow Black/2.25Kg), 82K200XNIN","₹73,990.00",Lenovo,82K200XNIN,Ideapad Gaming 3,AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3050,8GB RAM DDR4,SSD,512 GB ,Shadow Black,Windows 10 Home,‎1920 x 1080 ,15.6 Inches,‎5 Hours,36 x 25.2 x 2.4 Centimeters,2.25 Kilograms
13,"ASUS VivoBook Ultra 15 (2020) Intel Core i3-1115G4 11th Gen, 15.6 inches FHD T&L Laptop (8GB RAM/256GB NVMe SSD/Windows 10/Office 2019/Integrated Graphics/Star Black/1.8 Kg), X513EA-BQ312TS","₹43,990.00",ASUS ,‎X513EA-BQ312TS,‎VivoBook Ultra 15,11th Gen Intel Core i3-1115G4,Integrated Intel Iris Xᵉ Graphics,8GB,SSD,256GB ,Star Black,Windows 10 Home,1920 x 1080 ,15.6 Inches,‎8 Hours,23.5 x 35.9 x 2 cm,1.8 kg
